Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,-76.58299589,10,pin,0,0,0;3,
1,-46.58299589,20,,0,-1,2;9;12,
2,-16.58299589,10,roller_no_ydisp,0,0,8;11,
3,-46.58299589,10,,0,0,5;6;12;17;19,
4,-56.58299589,10,,0,0,4;5;13;18,
5,-56.58299589,16.66666667,,0,0,1;2;13;17,
6,-66.58299589,10,,0,0,3;4;14,
7,-66.58299589,13.33333333,,0,0,0;1;14;18,
8,-36.58299589,10,pin,0,0,6;7;15;20,
9,-36.58299589,16.66666667,,0,0,9;10;15;19,
10,-26.58299589,10,,0,0,7;8;16,
11,-26.58299589,13.33333333,,0,0,10;11;16;20,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,7,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[-0.3 -0.   0.9],[0.9486833  0.         0.31622777]
1,7,5,W Shapes:W6X9,Steel ASTM A36,[-0.         0.9486833  0.       ],[-0.3 -0.   0.9],[0.9486833  0.         0.31622777]
2,5,1,W Shapes:W5X16,Steel ASTM A36,[-0.         0.9486833  0.       ],[-0.3 -0.   0.9],[0.9486833  0.         0.31622777]
3,0,6,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
4,6,4,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
5,4,3,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
6,3,8,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
7,8,10,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
8,10,2,W Shapes:W12X26,Steel ASTM A36,[-0.  1.  0.],[ 0. -0.  1.],[1. 0. 0.]
9,1,9,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[0.3 0.  0.9],[ 0.9486833   0.         -0.31622777]
10,9,11,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[0.3 0.  0.9],[ 0.9486833   0.         -0.31622777]
11,11,2,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[0.3 0.  0.9],[ 0.9486833   0.         -0.31622777]
12,3,1,W Shapes:W12X26,Steel ASTM A36,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
13,4,5,W Shapes:W12X26,Steel ASTM A36,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
14,6,7,W Shapes:W12X26,Steel ASTM A36,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
15,8,9,W Shapes:W12X26,Steel ASTM A36,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
16,10,11,W Shapes:W12X26,Steel ASTM A36,[-0.  0.  0.],[ 0. -0.  0.],[0. 0. 1.]
17,5,3,W Shapes:W12X26,Steel ASTM A36,[-0.          0.83205029  0.        ],[0.46153846 0.         0.69230769],[ 0.83205029  0.         -0.5547002 ]
18,7,4,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[0.3 0.  0.9],[ 0.9486833   0.         -0.31622777]
19,3,9,W Shapes:W12X26,Steel ASTM A36,[-0.          0.83205029  0.        ],[-0.46153846 -0.          0.69230769],[0.83205029 0.         0.5547002 ]
20,8,11,W Shapes:W12X26,Steel ASTM A36,[-0.         0.9486833  0.       ],[-0.3 -0.   0.9],[0.9486833  0.         0.31622777]