Nodes,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,-57.16554762,10,,0,0,0;3,
1,-9.165547622,10,,0,0,8;11,
2,-33.16554762,20,,0,0,2;9;12;16;18,
3,-33.16554762,10,,0,0,5;6;12,
4,-41.33221429,10,,0,0,4;5;13;15;16,
5,-41.33221429,16.59722222,,0,0,1;2;13,
6,-24.99888095,10,,0,0,6;7;14;17;18,
7,-24.99888095,16.59722222,,0,0,9;10;14,
8,-49.24888095,13.29861111,,0,0,0;1;15;19,
9,-17.08221429,13.29861111,,0,0,10;11;17;20,
10,-49.24888095,10,,0,0,3;4;19,
11,-17.08221429,10,,0,0,7;8;20,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,8,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
1,8,5,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
2,5,2,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
3,0,10,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
4,10,4,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
5,4,3,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
6,3,6,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
7,6,11,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
8,11,1,W Shapes:W12X19,Steel ASTM A992,[-0.0],[1.0],[0.0]
9,2,7,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
10,7,9,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
11,9,1,W Shapes:W12X19,Steel ASTM A992,[3.00614234e-15],[0.923076923],[0.0]
12,3,2,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.0],[0.0]
13,4,5,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.0],[0.0]
14,6,7,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.0],[0.0]
15,8,4,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.92307692],[0.0]
16,4,2,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.63253457],[0.0]
17,6,9,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.92307692],[0.0]
18,2,6,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.63253457],[0.0]
19,10,8,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.0],[0.0]
20,11,9,W Shapes:W12X19,Steel ASTM A992,[-0.0],[0.0],[0.0]